home_team_exp_minutes_sum,home_n_active_players,home_team_pts_per48,home_team_reb_per48,home_team_ast_per48,home_team_fg_pct,home_team_fg3_pct,home_team_ft_pct,home_top5_minutes_share,home_top3_usage_share,away_team_exp_minutes_sum,away_n_active_players,away_team_pts_per48,away_team_reb_per48,away_team_ast_per48,away_team_fg_pct,away_team_fg3_pct,away_team_ft_pct,away_top5_minutes_share,away_top3_usage_share,diff_team_pts_per48,diff_team_reb_per48,diff_team_ast_per48,diff_team_fg_pct,diff_team_fg3_pct,diff_team_exp_minutes_sum,diff_top5_minutes_share,diff_top3_usage_share,is_home,date,game_id,home_win,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-24,22300061,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-24,22300062,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300063,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300064,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300065,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300066,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300067,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300068,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300069,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300070,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300071,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300072,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300073,0,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-25,22300074,1,2023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-10-26,22300075,1,2023
